#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Sep  4 02:04:52 2022

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Nexys2_programmer_map.ncd
#OUTPUT FILE:      Nexys2_programmer_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C2,shared_a<17>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C3,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,
C4,,IOB,IO,UNUSED,,0,,,,,,,,,
C5,,DIFFM,IO_L23P_0,UNUSED,,0,,,,,,,,,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,,DIFFM,IO_L18P_0,UNUSED,,0,,,,,,,,,
C8,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
C9,,DIFFM,IO_L14P_0/GCLK10,UNUSED,,0,,,,,,,,,
C10,,,GND,,,,,,,,,,,,
C11,,DIFFM,IO_L09P_0,UNUSED,,0,,,,,,,,,
C12,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,,DIFFS,IO_L03N_0/VREF_0,UNUSED,,0,,,,,,,,,
C15,,IBUF,IP,UNUSED,,0,,,,,,,,,
C16,,,TDO,,,,,,,,,,,,
C17,hex_out<7>,IOB,IO_L24N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C18,seg_sel<1>,IOB,IO_L24P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D1,shared_a<21>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D2,shared_a<19>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D3,flash_sts,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
D4,,,NC,,,,,,,,,,,,
D5,,DIFFS,IO_L23N_0/VREF_0,UNUSED,,0,,,,,,,,,
D6,,,NC,,,,,,,,,,,,
D7,,DIFFS,IO_L18N_0/VREF_0,UNUSED,,0,,,,,,,,,
D8,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
D9,,DIFFS,IO_L14N_0/GCLK11,UNUSED,,0,,,,,,,,,
D10,,DIFFM,IO_L11P_0/GCLK4,UNUSED,,0,,,,,,,,,
D11,,DIFFS,IO_L09N_0,UNUSED,,0,,,,,,,,,
D12,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,
D13,,IBUF,IP,UNUSED,,0,,,,,,,,,
D14,,DIFFM,IO_L03P_0,UNUSED,,0,,,,,,,,,
D15,,,TMS,,,,,,,,,,,,
D16,hex_out<3>,IOB,IO_L23N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D17,hex_out<2>,IOB,IO_L23P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D18,button<1>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
E1,shared_a<14>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E2,shared_a<16>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E3,,,NC,,,,,,,,,,,,
E4,,,NC,,,,,,,,,,,,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,,NC,,,,,,,,,,,,
E7,,DIFFS,IO_L19N_0/VREF_0,UNUSED,,0,,,,,,,,,
E8,,DIFFM,IO_L17P_0,UNUSED,,0,,,,,,,,,
E9,,DIFFM,IO_L15P_0,UNUSED,,0,,,,,,,,,
E10,,DIFFS,IO_L11N_0/GCLK5,UNUSED,,0,,,,,,,,,
E11,,DIFFM,IO_L08P_0,UNUSED,,0,,,,,,,,,
E12,,DIFFS,IO_L06N_0,UNUSED,,0,,,,,,,,,
E13,,IOB,IO,UNUSED,,0,,,,,,,,,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,,,NC,,,,,,,,,,,,
E16,,,NC,,,,,,,,,,,,
E17,led<4>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E18,button<2>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
F1,shared_a<8>,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F2,shared_a<13>,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,led<6>,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F5,,IBUF,IP,UNUSED,,3,,,,,,,,,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,,DIFFM,IO_L19P_0,UNUSED,,0,,,,,,,,,
F8,,DIFFS,IO_L17N_0,UNUSED,,0,,,,,,,,,
F9,,DIFFS,IO_L15N_0,UNUSED,,0,,,,,,,,,
F10,,DIFFMI,IP_L10P_0,UNUSED,,0,,,,,,,,,
F11,,DIFFS,IO_L08N_0,UNUSED,,0,,,,,,,,,
F12,,DIFFM,IO_L06P_0,UNUSED,,0,,,,,,,,,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,,DIFFS,IO_L21N_1,UNUSED,,1,,,,,,,,,
F15,seg_sel<0>,IOB,IO_L21P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,seg_sel<3>,IOB,IO_L19N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F18,hex_out<1>,IOB,IO_L19P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G1,,IBUF,IP,UNUSED,,3,,,,,,,,,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,shared_a<9>,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G4,shared_a<12>,IOB,IO_L06N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G5,shared_a<11>,IOB,IO_L07N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G6,shared_a<10>,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,,IOB,IO,UNUSED,,0,,,,,,,,,
G10,,DIFFSI,IP_L10N_0,UNUSED,,0,,,,,,,,,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,,DIFFS,IO_L20N_1,UNUSED,,1,,,,,,,,,
G14,hex_out<4>,IOB,IO_L20P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G15,,DIFFM,IO_L18P_1,UNUSED,,1,,,,,,,,,
G16,,DIFFS,IO_L18N_1,UNUSED,,1,,,,,,,,,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,,IBUF,IP,UNUSED,,1,,,,,,,,,
H1,shared_a<3>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H2,shared_a<4>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H3,shared_a<6>,IOB,IO_L09N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H4,shared_a<2>,IOB,IO_L09P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H5,psram_clk,IOB,IO_L08N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H6,shared_a<7>,IOB,IO_L08P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,button<3>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
H14,hex_out<6>,IOB,IO_L17P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H15,,DIFFS,IO_L17N_1,UNUSED,,1,,,,,,,,,
H16,,DIFFM,IO_L16P_1,UNUSED,,1,,,,,,,,,
H17,seg_sel<2>,IOB,IO_L16N_1/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
J1,shared_a<0>,IOB,IO_L12P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J2,shared_a<1>,IOB,IO_L12N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J3,,,GND,,,,,,,,,,,,
J4,psram_adv_n,IOB,IO_L11N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J5,shared_a<5>,IOB,IO_L11P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J6,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
J7,,IBUF,IP,UNUSED,,3,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,,DIFFM,IO_L15P_1/A2,UNUSED,,1,,,,,,,,,
J13,,DIFFS,IO_L15N_1/A1,UNUSED,,1,,,,,,,,,
J14,led<0>,IOB,IO_L14N_1/A3/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J15,led<1>,IOB,IO_L14P_1/A4/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J16,,DIFFS,IO_L13N_1/A5/RHCLK5,UNUSED,,1,,,,,,,,,
J17,hex_out<5>,IOB,IO_L13P_1/A6/RHCLK4/IRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,,IBUF,IP,UNUSED,,3,,,,,,,,,
K3,shared_a<20>,IOB,IO_L13P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K4,psram_ub_n,IOB,IO_L13N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K5,psram_lb_n,IOB,IO_L14N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K6,shared_a<22>,IOB,IO_L14P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K7,,IBUF,IP,UNUSED,,3,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,DIFFS,IO_L11N_1/A9/RHCLK1,UNUSED,,1,,,,,,,,,
K13,i2c_scl,IOB,IO_L11P_1/A10/RHCLK0,TRISTATE,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K14,led<3>,IOB,IO_L12N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K15,led<2>,IOB,IO_L12P_1/A8/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K16,,,GND,,,,,,,,,,,,
K17,,IBUF,IP,UNUSED,,1,,,,,,,,,
K18,,IBUF,IP,UNUSED,,1,,,,,,,,,
L1,shared_d<0>,IOB,IO_L15P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L2,shared_d<12>,IOB,IO_L15N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L3,shared_d<8>,IOB,IO_L16P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L4,shared_d<1>,IOB,IO_L16N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L5,shared_d<9>,IOB,IO_L17N_3/VREF_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L6,shared_d<2>,IOB,IO_L17P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,,IBUF,IP,UNUSED,,1,,,,,,,,,
L14,,IBUF,IP,UNUSED,,1,,,,,,,,,
L15,i2c_sda,IOB,IO_L09N_1/A11,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L16,,DIFFM,IO_L09P_1/A12,UNUSED,,1,,,,,,,,,
L17,mosi,IOB,IO_L10N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L18,hex_out<0>,IOB,IO_L10P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M1,,IBUF,IP,UNUSED,,3,,,,,,,,,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,shared_d<10>,IOB,IO_L18N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M4,shared_d<3>,IOB,IO_L18P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M5,shared_a<15>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M6,shared_d<11>,IOB,IO_L19N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,,DIFFS,IO_L12N_2/D6/GCLK13,UNUSED,,2,,,,,,,,,
M10,,DIFFM,IO_L16P_2/M0,UNUSED,,2,,,,,,,,,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,,DIFFS,IO_L05N_1/VREF_1,UNUSED,,1,,,,,,,,,
M14,sclk,IOB,IO_L05P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M15,miso,IBUF,IO_L07P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
M16,ncs,IOB,IO_L07N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,,DIFFS,IO_L08N_1,UNUSED,,1,,,,,,,,,
N1,,IBUF,IP,UNUSED,,3,,,,,,,,,
N2,,IBUF,IP,UNUSED,,3,,,,,,,,,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,shared_d<13>,IOB,IO_L20P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N5,shared_d<4>,IOB,IO_L20N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,shared_we_n,IOB,IO_L07P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N8,,DIFFS,IO_L09N_2,UNUSED,,2,,,,,,,,,
N9,,DIFFM,IO_L12P_2/D7/GCLK12,UNUSED,,2,,,,,,,,,
N10,,DIFFS,IO_L16N_2/DIN/D0,UNUSED,,2,,,,,,,,,
N11,,DIFFS,IO_L18N_2,UNUSED,,2,,,,,,,,,
N12,,,NC,,,,,,,,,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,,NC,,,,,,,,,,,,
N15,,,NC,,,,,,,,,,,,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,switch<0>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
N18,,DIFFM,IO_L08P_1,UNUSED,,1,,,,,,,,,
P1,shared_d<5>,IOB,IO_L21N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P2,shared_d<6>,IOB,IO_L21P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P3,,,NC,,,,,,,,,,,,
P4,,,NC,,,,,,,,,,,,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,,DIFFS,IO_L05N_2,UNUSED,,2,,,,,,,,,
P7,psram_cre,IOB,IO_L07N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P8,,DIFFM,IO_L09P_2,UNUSED,,2,,,,,,,,,
P9,txd,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P10,,DIFFS,IO_L15N_2/D1/GCLK3,UNUSED,,2,,,,,,,,,
P11,ps2_data,IOB,IO_L18P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P12,,,NC,,,,,,,,,,,,
P13,,DIFFM,IO_L22P_2/A23,UNUSED,,2,,,,,,,,,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,led<5>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P16,,,NC,,,,,,,,,,,,
P17,,DIFFM,IO_L06P_1,UNUSED,,1,,,,,,,,,
P18,,DIFFS,IO_L06N_1,UNUSED,,1,,,,,,,,,
R1,,IBUF,IP,UNUSED,,3,,,,,,,,,
R2,shared_d<7>,IOB,IO_L23N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R3,shared_d<14>,IOB,IO_L23P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R4,led<7>,IOB,IO/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R5,flash_ce_n,IOB,IO_L04P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R6,psram_ce_n,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R7,,DIFFSI,IP_L08N_2,UNUSED,,2,,,,,,,,,
R8,,DIFFM,IO_L10P_2,UNUSED,,2,,,,,,,,,
R9,,IOB,IO/D5,UNUSED,,2,,,,,,,,,
R10,,DIFFM,IO_L15P_2/D2/GCLK2,UNUSED,,2,,,,,,,,,
R11,,IOB,IO,UNUSED,,2,,,,,,,,,
R12,ps2_clk,IOB,IO_L20N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R13,,DIFFS,IO_L22N_2/A22,UNUSED,,2,,,,,,,,,
R14,,DIFFS,IO_L24N_2/A20,UNUSED,,2,,,,,,,,,
R15,,DIFFM,IO_L03P_1,UNUSED,,1,,,,,,,,,
R16,,DIFFS,IO_L03N_1/VREF_1,UNUSED,,1,,,,,,,,,
R17,switch<1>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
R18,,DIFFM,IO_L02P_1/A14,UNUSED,,1,,,,,,,,,
T1,shared_d<15>,IOB,IO_L24N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
T2,shared_oe_n,IOB,IO_L24P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T3,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
T4,,DIFFS,IO_L03N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
T5,flash_reset_n,IOB,IO_L04N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T6,,,VCCO_2,,,2,,,,,2.50,,,,
T7,,DIFFMI,IP_L08P_2,UNUSED,,2,,,,,,,,,
T8,,DIFFS,IO_L10N_2,UNUSED,,2,,,,,,,,,
T9,,,GND,,,,,,,,,,,,
T10,,DIFFSI,IP_L14N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
T11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,
T12,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,,DIFFM,IO_L24P_2/A21,UNUSED,,2,,,,,,,,,
T15,,IOB,IO/VREF_2,UNUSED,,2,,,,,,,,,
T16,,DIFFM,IO_L26P_2/VS0/A17,UNUSED,,2,,,,,,,,,
T17,,DIFFS,IO_L01N_1/A15,UNUSED,,1,,,,,,,,,
T18,,DIFFS,IO_L02N_1/A13,UNUSED,,1,,,,,,,,,
U1,,IBUF,IP,UNUSED,,3,,,,,,,,,
U2,,,GND,,,,,,,,,,,,
U3,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
U4,,DIFFM,IO_L03P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
U5,,IOB,IO/VREF_2,UNUSED,,2,,,,,,,,,
U6,rxd,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
U7,,,VCCAUX,,,,,,,,2.5,,,,
U8,,DIFFMI,IP_L11P_2,UNUSED,,2,,,,,,,,,
U9,,DIFFM,IO_L13P_2/D4/GCLK14,UNUSED,,2,,,,,,,,,
U10,,DIFFMI,IP_L14P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
U11,,DIFFSI,IP_L17N_2,UNUSED,,2,,,,,,,,,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,,IBUF,IP,UNUSED,,2,,,,,,,,,
U14,,DIFFSI,IP_L23N_2,UNUSED,,2,,,,,,,,,
U15,,DIFFS,IO_L25N_2/VS1/A18,UNUSED,,2,,,,,,,,,
U16,,DIFFS,IO_L26N_2/CCLK,UNUSED,,2,,,,,,,,,
U17,,,GND,,,,,,,,,,,,
U18,,DIFFM,IO_L01P_1/A16,UNUSED,,1,,,,,,,,,
V1,,,GND,,,,,,,,,,,,
V2,,IBUF,IP,UNUSED,,2,,,,,,,,,
V3,,DIFFSI,IP_L02N_2,UNUSED,,2,,,,,,,,,
V4,,DIFFMI,IP_L02P_2,UNUSED,,2,,,,,,,,,
